city,population,state_id,state_name
Rio Branco,364756,AC,Acre
Maceió,957916,AL,Alagoas
Arapiraca,234696,AL,Alagoas
Macapá,442933,AP,Amapá
Santana,107373,AP,Amapá
Manaus,2063547,AM,Amazonas
Itacoatiara,103598,AM,Amazonas
Manacapuru,101883,AM,Amazonas
Parintins,96372,AM,Amazonas
Salvador,2418005,BA,Bahia
Feira de Santana,616279,BA,Bahia
Vitória da Conquista,370868,BA,Bahia
Camaçari,299579,BA,Bahia
Juazeiro,235816,BA,Bahia
Lauro de Freitas,203334,BA,Bahia
Itabuna,186708,BA,Bahia
Ilhéus,178703,BA,Bahia
Porto Seguro,167955,BA,Bahia
Barreiras,159743,BA,Bahia
Jequié,158812,BA,Bahia
Alagoinhas,151065,BA,Bahia
Teixeira de Freitas,145223,BA,Bahia
Eunápolis,113709,BA,Bahia
Simões Filho,114441,BA,Bahia
Paulo Afonso,112870,BA,Bahia
Luís Eduardo Magalhães,107909,BA,Bahia
Santo Antônio de Jesus,103055,BA,Bahia
Fortaleza,2428678,CE,Ceará
Caucaia,355679,CE,Ceará
Juazeiro do Norte,286120,CE,Ceará
Maracanaú,234392,CE,Ceará
Sobral,203023,CE,Ceará
Crato,131050,CE,Ceará
Itapipoca,131123,CE,Ceará
Maranguape,105093,CE,Ceará
Iguatu,98064,CE,Ceará
Brasília,2817068,DF,Distrito Federal
Serra,520649,ES,Espírito Santo
Vila Velha,467722,ES,Espírito Santo
Cariacica,353510,ES,Espírito Santo
Vitória,322869,ES,Espírito Santo
Cachoeiro de Itapemirim,185784,ES,Espírito Santo
Linhares,166786,ES,Espírito Santo
Guarapari,124656,ES,Espírito Santo
São Mateus,123750,ES,Espírito Santo
Colatina,119992,ES,Espírito Santo
Aracruz,94765,ES,Espírito Santo
Goiânia,1437237,GO,Goiás
Aparecida de Goiânia,527550,GO,Goiás
Anápolis,398817,GO,Goiás
Águas Lindas de Goiás,225671,GO,Goiás
Rio Verde,225696,GO,Goiás
Luziânia,208725,GO,Goiás
Valparaíso de Goiás,198861,GO,Goiás
Senador Canedo,155635,GO,Goiás
Trindade,142431,GO,Goiás
Catalão,114427,GO,Goiás
Formosa,115669,GO,Goiás
Itumbiara,107970,GO,Goiás
Planaltina,105031,GO,Goiás
Jataí,105729,GO,Goiás
Novo Gama,103804,GO,Goiás
Caldas Novas,98622,GO,Goiás
Cidade Ocidental,91767,GO,Goiás
São Luís,1037775,MA,Maranhão
Imperatriz,273110,MA,Maranhão
São José de Ribamar,244579,MA,Maranhão
Timon,174465,MA,Maranhão
Caxias,156970,MA,Maranhão
Paço do Lumiar,145643,MA,Maranhão
