population,state_id,state_name
830018,AC,Acre
3127683,AL,Alagoas
733759,AP,Amapá
3941613,AM,Amazonas
14141626,BA,Bahia
8794957,CE,Ceará
2817381,DF,Distrito Federal
3833712,ES,Espírito Santo
7056495,GO,Goiás
6776699,MA,Maranhão
3658649,MT,Mato Grosso
2757013,MS,Mato Grosso do Sul
20539989,MG,Minas Gerais
11444380,PR,Paraná
3974687,PB,Paraíba
8120131,PA,Pará
9058931,PE,Pernambuco
3271199,PI,Piauí
3302729,RN,Rio Grande do Norte
10882965,RS,Rio Grande do Sul
16055174,RJ,Rio de Janeiro
1581196,RO,Rondônia
636707,RR,Roraima
7610361,SC,Santa Catarina
2210004,SE,Sergipe
44411238,SP,São Paulo
1511460,TO,Tocantins
